#Copyright André Castilla 2014
#Please cite accordingly
0;rid0;radlex;radlex;radlex;;;;;;;;;;;;;;;;;
1;rid1;radlex term;termo de radlex;termino del radlex;;;;;;;;;;;;;;;;;
3;rid3;anatomic location;posicao anatomica;localizacion anatomica;;;;;;;;;;;;;;;;;
4;rid4;blood vessel;vaso sanguineo;vaso sanguineo;;;;;;;;;;;;;;;;;
5;rid5;finding;achado;hallazgo;;;;;;;;;;;;;;;;;
6;rid6;modifier;modificador;modificante;;;;;;;;;;;;;;;;;
7;rid7;image acquisition, processing, and display;aquisicao, processamento, e exposicao da imagem;adquisicion, procesamiento y visualizacion de imagenes;;;;;;;;;;;;;;;;;
8;rid8;treatment;tratamento;tratamiento;;;;;;;;;;;;;;;;;
10;rid10;image quality;qualidade da imagem;calidad de la imagen;;;;;;;;;;;;;;;;;
11;rid11;exemplary quality;qualidade exemplar;calidad ejemplar;;;;;;;;;;;;;;;;;
12;rid12;diagnostic quality;qualidade diagnostica;calidad diagnostica;;;;;;;;;;;;;;;;;
13;rid13;limited quality;qualidade limitada;calidad limitada;;;;;;;;;;;;;;;;;
14;rid14;non-diagnostic quality;qualidade nao-diagnostica;calidad no diagnostica;;;;;;;;;;;;;;;;;
15;rid15;relationship;relacionamento;relacion;;;;;;;;;;;;;;;;;
16;rid16;teaching attribute;atributo de ensino;atributo de ense�anza;;;;;;;;;;;;;;;;;
17;rid17;perceptual difficulty;dificuldade de percepcao;dificultad perceptiva;;;;;;;;;;;;;;;;;
18;rid18;basic perceptual difficulty;dificuldade de percepcao basica;dificultad perceptiva basica;;;;;;;;;;;;;;;;;
19;rid19;intermediate perceptual difficulty;dificuldade de percepcao intermediaria;dificultad perceptiva intermedia;;;;;;;;;;;;;;;;;
20;rid20;advanced perceptual difficulty;dificuldade de percepcao avancada;dificultad perceptiva avanzada;;;;;;;;;;;;;;;;;
21;rid21;analytical difficulty;dificuldade analitica;dificultad analitica;;;;;;;;;;;;;;;;;
22;rid22;basic analytical difficulty;dificuldade analitica basica;dificultad analitica basica;;;;;;;;;;;;;;;;;
23;rid23;intermediate analytical difficulty;dificuldade analitica intermediaria;dificultad analitica intermedia;;;;;;;;;;;;;;;;;
24;rid24;advanced analytic difficulty;dificuldade analitica avancada;dificultad analitica avanzada;;;;;;;;;;;;;;;;;
25;rid25;representativeness;representatividade;representatividad;;;;;;;;;;;;;;;;;
26;rid26;typical;tipico;tipico;;;;;;;;;;;;;;;;;
27;rid27;atypical;atipicos;anormal;;;;;;;;;;;;;;;;;
28;rid28;mimics another entity;imita uma outra entidade;imita otra entidad;;;;;;;;;;;;;;;;;
29;rid29;uncertainty;incerteza;incertidumbre;;;;;;;;;;;;;;;;;
31;rid31;definitely present;definitivamente presentes;definitivamente presente;;;;;;;;;;;;;;;;;
32;rid32;almost certainly present;quase certamente presentes;casi ciertamente presente;;;;;;;;;;;;;;;;;
33;rid33;probably present;provavelmente presentes;probablemente presente;;;;;;;;;;;;;;;;;
34;rid34;possibly present;possivelmente presentes;posiblemente presente;;;;;;;;;;;;;;;;;
36;rid36;probably not present;provavelmente nao presentes;probablemente no presente;;;;;;;;;;;;;;;;;
38;rid38;almost certainly absent;quase certamente ausente;casi ciertamente ausente;;;;;;;;;;;;;;;;;
39;rid39;definitely not present;definitivamente nao presentes;definitivamente no presente;;;;;;;;;;;;;;;;;
41;rid41;continuous with;continuo com;continuo con;;;;;;;;;;;;;;;;;
42;rid42;branch of;ramo de;rama de;;;;;;;;;;;;;;;;;
43;rid43;branch;ramo;rama;;;;;;;;;;;;;;;;;
44;rid44;tributary of;tributario de;tributario de;;;;;;;;;;;;;;;;;
45;rid45;tributary;tributario;tributario;;;;;;;;;;;;;;;;;
46;rid46;part of;parte de;parte de;;;;;;;;;;;;;;;;;
47;rid47;segment of;segmento de;segmento de;;;;;;;;;;;;;;;;;
48;rid48;part;parte;parte;;;;;;;;;;;;;;;;;
49;rid49;segment;segmento;segmento;;;;;;;;;;;;;;;;;
50;rid50;contained in;contido em;contenido em;;;;;;;;;;;;;;;;;
51;rid51;contains;contem;contiene;;;;;;;;;;;;;;;;;
52;rid52;is a;e a;es a;;;;;;;;;;;;;;;;;
54;rid54;member of;membro de;miembro de;;;;;;;;;;;;;;;;;
55;rid55;member;membro;miembro;;;;;;;;;;;;;;;;;
56;rid56;abdomen;abdome;abdomen;;;;;;;;;;;;;;;;;
57;rid57;abdominal solid organ;orgao solido abdominal;organo solido abdominal;;;;;;;;;;;;;;;;;
58;rid58;liver;figado;higado;;;;;;;;;;;;;;;;;
59;rid59;couinaud liver segment;segmento hepatico de couinaud;segmento hepatico de couinaud;;;;;;;;;;;;;;;;;
60;rid60;couinaud hepatic segment i;segmento hepatico i de couinaud;segmento hepatico i de couinaud;;;;;;;;;;;;;;;;;
62;rid62;couinaud hepatic segment ii;segmento hepatico ii de couinaud;segmento hepatico ii de couinaud;;;;;;;;;;;;;;;;;
63;rid63;couinaud hepatic segment iii;segmento hepatico iii de couinaud;segmento hepatico iii de couinaud;;;;;;;;;;;;;;;;;
64;rid64;couinaud hepatic segment iv;segmento hepatico iv de couinaud;segmento hepatico iv de couinaud;;;;;;;;;;;;;;;;;
65;rid65;couinaud hepatic segment v;segmento hepatico v de couinaud;segmento hepatico v de couinaud;;;;;;;;;;;;;;;;;
66;rid66;couinaud hepatic segment vi;segmento hepatico vi de couinaud;segmento hepatico vi de couinaud;;;;;;;;;;;;;;;;;
